"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 23:17:22 GMT 2024","Fri Nov 22 23:17:22 GMT 2024","15","TEST - API","","","com.example.project.FirstTest","myFirstTest","Test JUnit 5",""
"passed","Fri Nov 22 23:17:21 GMT 2024","Fri Nov 22 23:17:22 GMT 2024","1023","API","mySecondTest","aSlowTest","com.example.project.SecondTest","aSlowTest","aSlowTest()",""
"passed","Fri Nov 22 23:17:22 GMT 2024","Fri Nov 22 23:17:22 GMT 2024","4","API","OtherTests","testThisOtherThing","com.example.project.OtherTests","testThisOtherThing","testThisOtherThing()",""
"passed","Fri Nov 22 23:17:22 GMT 2024","Fri Nov 22 23:17:22 GMT 2024","4","TEST - API","JUnit4Test","test","com.example.project.JUnit4Test","test","test",""
"passed","Fri Nov 22 23:17:22 GMT 2024","Fri Nov 22 23:17:22 GMT 2024","3","TEST - API","OtherTests","testThisThing","com.example.project.OtherTests","testThisThing","testThisThing()",""
"skipped","Fri Nov 22 23:17:22 GMT 2024","Fri Nov 22 23:17:22 GMT 2024","0","","com.example.project.SecondTest","","com.example.project.SecondTest","mySecondTest","mySecondTest()",""
"passed","Fri Nov 22 23:17:52 GMT 2024","Fri Nov 22 23:17:52 GMT 2024","33","","","","","","CheckboxWithLabel changes the text after click",""
